id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
774867293948514142,1BD Downtown Vancouver Condo with Free Parking,490262922,Zaahira,,Downtown Eastside,49.2796505,-123.1001372,Entire home/apt,160,2,53,2025-03-01,1.95,1,136,10,25-157164
775583389057444119,【 Cozy Private Bedroom w/ TV and Internet 】,213845376,Creamie,,Victoria-Fraserview,49.220023,-123.0556894,Private room,47,90,0,,,2,91,0,
775773736658820762,Cozy Kitsilano Studio,479950095,Razi,,Kitsilano,49.26346,-123.15545,Entire home/apt,128,90,2,2023-08-13,0.09,1,0,0,
776053294115823846,Spacious Zen Loft,36308717,Manny,,Downtown,49.27837,-123.12056,Entire home/apt,,2,43,2023-10-14,1.61,1,0,0,23-158701
777106476710520529,Heart of Downtown King Suite/Parkng/Pool/Gym/Sauna,245819920,Lien,,Downtown,49.27973,-123.12074,Entire home/apt,239,2,117,2024-12-07,4.35,2,46,39,25-157204
777603663924481292,Beautiful Downtown Unit,485403075,Adam,,Downtown,49.28128,-123.12194,Entire home/apt,394,2,58,2025-01-10,2.25,1,88,17,25-157933
777679941260560186,"Yaletown, Vancouver Views of Marina and Mountains",52572635,Heidi,,Downtown,49.27398,-123.11532,Entire home/apt,,85,7,2025-02-11,0.29,1,89,4,
777845719535661781,Private Room n Washroom in Furnished apartment,61173091,Sumit,,Downtown,49.27274,-123.11582,Private room,90,90,0,,,1,365,0,
779189888706984021,2bedrooms &ofice room,489407262,Vanna,,Kensington-Cedar Cottage,49.23443,-123.06008,Entire home/apt,285,2,2,2024-07-06,0.11,1,342,1,787527
779888257712433166,Sunrise House,491098467,Weiji,,Hastings-Sunrise,49.270504297760574,-123.03211725068702,Entire home/apt,269,2,61,2024-11-03,2.30,2,190,26,25-157133
